date,timestamp_utc,country,actor,category,signal_level,narrative_type,business_risk,summary,source_type,confidence_score,market_sensitivity,humanitarian_relevance
23/3/2026,2026-03-23 20:10:00 UTC,Indonesia,Media Network,Proxy Activity,Contested,OSINT Report,Medium,Indirect signalling raised concern about escalation pathways outside formal state channels.,Open Source,0.44,1,2
23/3/2026,2026-03-23 03:15:00 UTC,Iran,Regional Actor,Military,Contested,Media Claim,High,"Visible security signalling increased attention to posture, readiness, and deterrence.",Media,0.19,1,1
23/3/2026,2026-03-23 09:45:00 UTC,Lebanon,Media Network,Trade,Verified,Media Claim,High,"Commercial and logistics actors assessed exposure to insurance, freight, and compliance shifts.",Media,0.84,2,0
23/3/2026,2026-03-23 18:30:00 UTC,Lebanon,State,Humanitarian,Verified,Official Statement,Medium,"Public concern centred on civilian exposure, service continuity, and humanitarian access.",Official,0.94,2,2
23/3/2026,2026-03-23 23:45:00 UTC,Qatar,State,Military,Verified,Media Claim,High,"Visible security signalling increased attention to posture, readiness, and deterrence.",Media,0.68,2,2
23/3/2026,2026-03-23 17:40:00 UTC,UAE,Regional Actor,Trade,Contested,OSINT Report,Medium,"Commercial and logistics actors assessed exposure to insurance, freight, and compliance shifts.",Open Source,0.34,2,2
23/3/2026,2026-03-23 23:40:00 UTC,UAE,State,Trade,Contested,Official Statement,Medium,"Commercial and logistics actors assessed exposure to insurance, freight, and compliance shifts.",Official,0.37,1,0
23/3/2026,2026-03-23 03:20:00 UTC,USA,Media Network,Energy,Contested,Think Tank Note,High,Commentary affected market perception more strongly than immediate physical disruption.,Analytical,0.43,3,1
24/3/2026,2026-03-24 20:10:00 UTC,Lebanon,State,Information,Contested,OSINT Report,Medium,Competing accounts increased ambiguity over intent and authorship.,Open Source,0.43,1,0
24/3/2026,2026-03-24 21:40:00 UTC,Lebanon,State,Energy,Contested,Think Tank Note,Medium,Commentary affected market perception more strongly than immediate physical disruption.,Analytical,0.57,2,0
24/3/2026,2026-03-24 14:00:00 UTC,Malaysia,State,Energy,Contested,Media Claim,High,Commentary affected market perception more strongly than immediate physical disruption.,Media,0.37,2,1
24/3/2026,2026-03-24 02:20:00 UTC,Singapore,State,Trade,Contested,OSINT Report,Low,"Risk analysis focused on trade continuity, shipping costs, and business confidence.",Open Source,0.51,1,1
24/3/2026,2026-03-24 21:20:00 UTC,Singapore,State,Energy,Contested,Think Tank Note,Medium,Commentary affected market perception more strongly than immediate physical disruption.,Analytical,0.42,1,0
24/3/2026,2026-03-24 23:10:00 UTC,UAE,Regional Actor,Diplomatic,Verified,Official Statement,Low,Statements and diplomatic contacts suggested efforts to signal position without closing off negotiation space.,Official,0.77,3,2
24/3/2026,2026-03-24 21:00:00 UTC,USA,State,Diplomatic,Verified,OSINT Report,Low,"Official statements balanced reassurance, restraint, and alliance signalling.",Open Source,0.66,1,2
25/3/2026,2026-03-25 12:30:00 UTC,Indonesia,Regional Actor,Cyber,Contested,Social Media,High,"Reporting referenced cyber activity, but attribution and impact remained only partially verified.",Social,0.42,0,2
25/3/2026,2026-03-25 19:30:00 UTC,Iran,Cyber Unit,Cyber,Contested,OSINT Report,Medium,Public claims referenced cyber readiness without independently corroborated operational evidence.,Open Source,0.29,1,1
25/3/2026,2026-03-25 21:50:00 UTC,Iran,Cyber Unit,Military,Verified,Market Signal,Medium,"Visible security signalling increased attention to posture, readiness, and deterrence.",Market,0.69,2,2
25/3/2026,2026-03-25 04:50:00 UTC,Israel,Cyber Unit,Proxy Activity,Contested,OSINT Report,High,Indirect signalling raised concern about escalation pathways outside formal state channels.,Open Source,0.51,0,2
25/3/2026,2026-03-25 21:10:00 UTC,Israel,Cyber Unit,Cyber,Contested,Social Media,High,Media reporting described cyber disruption claims that remain only partially corroborated.,Social,0.53,1,2
25/3/2026,2026-03-25 13:50:00 UTC,UAE,Market Actor,Trade,Contested,Social Media,Low,"Commercial and logistics actors assessed exposure to insurance, freight, and compliance shifts.",Social,0.35,2,1
25/3/2026,2026-03-25 02:20:00 UTC,USA,Regional Actor,Diplomatic,Verified,OSINT Report,Low,"Official statements balanced reassurance, restraint, and alliance signalling.",Open Source,0.74,1,1
26/3/2026,2026-03-26 16:15:00 UTC,Indonesia,Media Network,Energy,Contested,Media Claim,High,Commentary affected market perception more strongly than immediate physical disruption.,Media,0.36,2,2
26/3/2026,2026-03-26 10:45:00 UTC,Iran,State,Information,Contested,Social Media,Low,"Narrative competition intensified, increasing ambiguity between signal and amplification.",Social,0.46,1,1
26/3/2026,2026-03-26 22:40:00 UTC,Iran,State,Cyber,Contested,Media Claim,High,Public claims referenced cyber readiness without independently corroborated operational evidence.,Media,0.52,0,1
26/3/2026,2026-03-26 00:20:00 UTC,Israel,Cyber Unit,Military,Verified,Official Statement,Medium,"Security statements emphasised preparedness, deterrence, and rapid response capacity.",Official,0.72,0,2
26/3/2026,2026-03-26 12:20:00 UTC,Israel,State,Diplomatic,Verified,Official Statement,Low,Statements and diplomatic contacts suggested efforts to signal position without closing off negotiation space.,Official,0.78,2,0
26/3/2026,2026-03-26 20:10:00 UTC,Malaysia,State,Diplomatic,Verified,Official Statement,Low,"Statements emphasised sovereignty, stability, and non-escalation.",Official,0.68,2,1
26/3/2026,2026-03-26 02:10:00 UTC,Qatar,State,Cyber,Contested,Media Claim,High,"Reporting referenced cyber activity, but attribution and impact remained only partially verified.",Media,0.38,1,2
26/3/2026,2026-03-26 14:30:00 UTC,Qatar,Media Network,Trade,Verified,Official Statement,Medium,"Commercial and logistics actors assessed exposure to insurance, freight, and compliance shifts.",Official,0.87,2,2
26/3/2026,2026-03-26 02:10:00 UTC,Singapore,Market Actor,Energy,Contested,Media Claim,Medium,Commentary affected market perception more strongly than immediate physical disruption.,Media,0.26,2,1
26/3/2026,2026-03-26 08:20:00 UTC,UAE,Market Actor,Energy,Verified,Market Signal,High,Energy-linked statements were interpreted primarily through commercial risk rather than military meaning.,Market,0.86,2,0
27/3/2026,2026-03-27 16:00:00 UTC,Iran,State,Diplomatic,Verified,Think Tank Note,Low,Senior officials signalled conditional openness to indirect talks through regional intermediaries.,Analytical,0.83,3,0
27/3/2026,2026-03-27 14:30:00 UTC,Israel,Regional Actor,Diplomatic,Verified,Official Statement,Low,Statements and diplomatic contacts suggested efforts to signal position without closing off negotiation space.,Official,0.86,1,2
27/3/2026,2026-03-27 14:30:00 UTC,Saudi Arabia,State,Energy,Contested,Media Claim,High,"Market sensitivity increased around energy transit, insurance exposure, and risk perception.",Media,0.38,2,0
27/3/2026,2026-03-27 09:45:00 UTC,Singapore,Media Network,Humanitarian,Contested,Media Claim,Medium,"Public concern centred on civilian exposure, service continuity, and humanitarian access.",Media,0.32,2,1
27/3/2026,2026-03-27 21:45:00 UTC,Singapore,Media Network,Trade,Verified,Official Statement,High,"Risk analysis focused on trade continuity, shipping costs, and business confidence.",Official,0.71,3,2
27/3/2026,2026-03-27 00:40:00 UTC,USA,State,Proxy Activity,Contested,Social Media,High,Indirect signalling raised concern about escalation pathways outside formal state channels.,Social,0.56,1,2
27/3/2026,2026-03-27 04:10:00 UTC,USA,Think Tank,Cyber,Contested,Media Claim,High,"Reporting referenced cyber activity, but attribution and impact remained only partially verified.",Media,0.33,1,0
28/3/2026,2026-03-28 04:00:00 UTC,Indonesia,State,Diplomatic,Contested,OSINT Report,Low,Diplomatic posture prioritised de-escalation and multilateral engagement.,Open Source,0.51,3,0
28/3/2026,2026-03-28 16:40:00 UTC,Iran,Cyber Unit,Information,Contested,Social Media,Medium,"Narrative competition intensified, increasing ambiguity between signal and amplification.",Social,0.58,1,0
28/3/2026,2026-03-28 03:50:00 UTC,Malaysia,Regional Actor,Cyber,Contested,Social Media,Medium,"Reporting referenced cyber activity, but attribution and impact remained only partially verified.",Social,0.19,2,2
28/3/2026,2026-03-28 17:45:00 UTC,Malaysia,State,Proxy Activity,Verified,Official Statement,Medium,Indirect signalling raised concern about escalation pathways outside formal state channels.,Official,0.66,1,1
28/3/2026,2026-03-28 08:50:00 UTC,Qatar,Media Network,Information,Contested,Media Claim,Low,"Narrative competition intensified, increasing ambiguity between signal and amplification.",Media,0.24,1,0
28/3/2026,2026-03-28 12:50:00 UTC,UAE,Market Actor,Humanitarian,Contested,Official Statement,Low,"Public concern centred on civilian exposure, service continuity, and humanitarian access.",Official,0.33,1,2
28/3/2026,2026-03-28 18:45:00 UTC,USA,Media Network,Proxy Activity,Contested,Social Media,Medium,Indirect signalling raised concern about escalation pathways outside formal state channels.,Social,0.45,2,2
29/3/2026,2026-03-29 00:15:00 UTC,Indonesia,Media Network,Cyber,Contested,Social Media,Medium,"Reporting referenced cyber activity, but attribution and impact remained only partially verified.",Social,0.45,1,0
29/3/2026,2026-03-29 01:40:00 UTC,Indonesia,Regional Actor,Proxy Activity,Verified,Official Statement,High,Indirect signalling raised concern about escalation pathways outside formal state channels.,Official,0.82,2,1
29/3/2026,2026-03-29 01:30:00 UTC,Israel,State,Military,Verified,OSINT Report,High,"Security statements emphasised preparedness, deterrence, and rapid response capacity.",Open Source,0.68,0,2
29/3/2026,2026-03-29 09:40:00 UTC,Israel,Regional Actor,Military,Verified,OSINT Report,Medium,"Security statements emphasised preparedness, deterrence, and rapid response capacity.",Open Source,0.9,2,2
29/3/2026,2026-03-29 17:40:00 UTC,Saudi Arabia,Market Actor,Trade,Contested,Media Claim,Medium,"Commercial and logistics actors assessed exposure to insurance, freight, and compliance shifts.",Media,0.25,3,1
29/3/2026,2026-03-29 17:30:00 UTC,Singapore,State,Trade,Verified,Media Claim,Low,Commercial commentary highlighted indirect exposure through logistics and finance.,Media,0.72,3,1
29/3/2026,2026-03-29 10:15:00 UTC,UAE,State,Trade,Contested,OSINT Report,Medium,"Commercial and logistics actors assessed exposure to insurance, freight, and compliance shifts.",Open Source,0.38,3,1
30/3/2026,2026-03-30 18:15:00 UTC,Israel,Regional Actor,Military,Contested,Social Media,Medium,Official messaging framed force readiness as precautionary rather than escalatory.,Social,0.34,2,2
30/3/2026,2026-03-30 08:30:00 UTC,Lebanon,Media Network,Cyber,Contested,Social Media,Medium,"Reporting referenced cyber activity, but attribution and impact remained only partially verified.",Social,0.27,2,1
30/3/2026,2026-03-30 02:30:00 UTC,Qatar,Regional Actor,Humanitarian,Verified,Media Claim,Medium,"Public concern centred on civilian exposure, service continuity, and humanitarian access.",Media,0.68,1,1
30/3/2026,2026-03-30 18:15:00 UTC,Qatar,Media Network,Proxy Activity,Contested,Social Media,Medium,Indirect signalling raised concern about escalation pathways outside formal state channels.,Social,0.43,2,2
30/3/2026,2026-03-30 02:40:00 UTC,Saudi Arabia,Regional Actor,Diplomatic,Contested,Social Media,Medium,Statements and diplomatic contacts suggested efforts to signal position without closing off negotiation space.,Social,0.46,3,2
30/3/2026,2026-03-30 11:20:00 UTC,Saudi Arabia,State,Energy,Contested,OSINT Report,Medium,Public and commercial commentary focused on continuity of supply and investor confidence.,Open Source,0.26,1,0
30/3/2026,2026-03-30 13:00:00 UTC,Singapore,Media Network,Trade,Contested,Media Claim,Low,"Risk analysis focused on trade continuity, shipping costs, and business confidence.",Media,0.39,2,0
30/3/2026,2026-03-30 20:10:00 UTC,Singapore,State,Military,Contested,Media Claim,High,"Visible security signalling increased attention to posture, readiness, and deterrence.",Media,0.45,1,1
30/3/2026,2026-03-30 19:10:00 UTC,USA,Media Network,Energy,Verified,Media Claim,Medium,Commentary affected market perception more strongly than immediate physical disruption.,Media,0.64,3,2
31/3/2026,2026-03-31 15:50:00 UTC,Iran,State,Diplomatic,Verified,Official Statement,Medium,Senior officials signalled conditional openness to indirect talks through regional intermediaries.,Official,0.69,2,2
31/3/2026,2026-03-31 20:30:00 UTC,Iran,Regional Actor,Military,Verified,Official Statement,High,"Visible security signalling increased attention to posture, readiness, and deterrence.",Official,0.77,2,2
31/3/2026,2026-03-31 07:15:00 UTC,Israel,Cyber Unit,Cyber,Contested,Think Tank Note,High,Media reporting described cyber disruption claims that remain only partially corroborated.,Analytical,0.55,2,1
31/3/2026,2026-03-31 10:20:00 UTC,Israel,Media Network,Humanitarian,Contested,Social Media,Low,"Public concern centred on civilian exposure, service continuity, and humanitarian access.",Social,0.29,0,1
31/3/2026,2026-03-31 11:30:00 UTC,Qatar,State,Information,Verified,Official Statement,Low,"Narrative competition intensified, increasing ambiguity between signal and amplification.",Official,0.64,2,1
31/3/2026,2026-03-31 12:40:00 UTC,Qatar,Media Network,Information,Contested,Media Claim,Low,"Narrative competition intensified, increasing ambiguity between signal and amplification.",Media,0.32,1,0
31/3/2026,2026-03-31 09:00:00 UTC,Saudi Arabia,State,Cyber,Contested,Think Tank Note,High,"Reporting referenced cyber activity, but attribution and impact remained only partially verified.",Analytical,0.35,1,2
31/3/2026,2026-03-31 00:10:00 UTC,UAE,Market Actor,Energy,Verified,Think Tank Note,High,Energy-linked statements were interpreted primarily through commercial risk rather than military meaning.,Analytical,0.92,1,0
1/4/2026,2026-04-01 04:30:00 UTC,Iran,Regional Actor,Diplomatic,Contested,Social Media,Medium,Senior officials signalled conditional openness to indirect talks through regional intermediaries.,Social,0.56,1,1
1/4/2026,2026-04-01 17:30:00 UTC,Iran,Regional Actor,Military,Verified,Think Tank Note,High,"Visible security signalling increased attention to posture, readiness, and deterrence.",Analytical,0.66,2,1
1/4/2026,2026-04-01 06:00:00 UTC,Malaysia,State,Diplomatic,Verified,Media Claim,Low,Public posture reflected cautious diplomatic balancing and support for restraint.,Media,0.76,2,2
1/4/2026,2026-04-01 22:15:00 UTC,Malaysia,Regional Actor,Diplomatic,Contested,OSINT Report,Low,"Statements emphasised sovereignty, stability, and non-escalation.",Open Source,0.4,3,1
1/4/2026,2026-04-01 21:30:00 UTC,Qatar,State,Humanitarian,Contested,Media Claim,Medium,"Public concern centred on civilian exposure, service continuity, and humanitarian access.",Media,0.26,0,2
1/4/2026,2026-04-01 22:20:00 UTC,Qatar,Regional Actor,Military,Contested,Official Statement,High,"Visible security signalling increased attention to posture, readiness, and deterrence.",Official,0.38,1,2
1/4/2026,2026-04-01 13:40:00 UTC,Saudi Arabia,Market Actor,Cyber,Verified,Official Statement,Medium,"Reporting referenced cyber activity, but attribution and impact remained only partially verified.",Official,0.85,0,0
1/4/2026,2026-04-01 08:20:00 UTC,Singapore,Media Network,Energy,Contested,Social Media,High,Commentary affected market perception more strongly than immediate physical disruption.,Social,0.41,1,2
1/4/2026,2026-04-01 15:00:00 UTC,Singapore,Media Network,Proxy Activity,Contested,Social Media,High,Indirect signalling raised concern about escalation pathways outside formal state channels.,Social,0.45,1,3
1/4/2026,2026-04-01 19:15:00 UTC,UAE,State,Diplomatic,Contested,Social Media,Low,Statements and diplomatic contacts suggested efforts to signal position without closing off negotiation space.,Social,0.43,1,1
